"Part";"Value";"Device";"Package";"Description";"";
"5V0";"";"M01PTH";"1X01";"Header 1";"";
"C1";"100nf";"CERAMIC-100NF-50V-10%-X7R(0603)";"C0603";"302010138";"";
"C2";"1uf";"CERAMIC-1UF-25V-10%-X7R(0603)";"C0603";"302010139";"";
"C3";"100nf";"CERAMIC-100NF-50V-10%-X7R(0603)";"C0603";"302010138";"";
"C4";"10uf";"CERAMIC-10UF-10V-10%-X5R(0603)";"C0603";"302010103";"";
"C5";"47u";"CAPACITOR-1206";"C1206";"Capacitors";"";
"C6";"47u";"CAPACITOR-1206";"C1206";"Capacitors";"";
"C7";"100nf";"CERAMIC-10UF-10V-10%-X5R(0603)";"C0603";"302010103";"";
"C100";"12pf";"CERAMIC-12PF-50V-5%-NPO(0603)";"C0603";"302010067";"";
"C101";"12pf";"CERAMIC-12PF-50V-5%-NPO(0603)";"C0603";"302010067";"";
"GND";"";"M01PTH";"1X01";"Header 1";"";
"JTAG";"";"M08X2";"2X8";".1" headers, two rows of 8 each";"";
"L1";"330OHM-500MA";"SMD-FERRITE-CHIP-120-OHM-500MA(0603)";"L0603";"303030001";"";
"L2";"330OHM-500MA";"SMD-FERRITE-CHIP-120-OHM-500MA(0603)";"L0603";"303030001";"";
"L3";"330OHM-500MA";"SMD-FERRITE-CHIP-120-OHM-500MA(0603)";"L0603";"303030001";"";
"LED1";"YELLOW-0603";"SMD-LED-CLEAR-YELLOW(0603)";"LED-0603";"304090044";"";
"LED2";"GREEN-0603";"SMD-LED-CLEAR-GREEN(0603)";"LED-0603";"304090043";"";
"Q1";"MMBT2222A";"MMDT3904";"SOT363";"Dual NPN transistor";"";
"R1";"220R";"SMD-RES-220R-5%-1/10W(0603)";"R0603";"301010163";"";
"R2";"220R";"SMD-RES-220R-5%-1/10W(0603)";"R0603";"301010163";"";
"R3";"10K 1/10W";"SMD-RES-10K-5%-1/10W(0603)";"R0603";"301010293";"";
"R4";"10K 1/10W";"SMD-RES-10K-5%-1/10W(0603)";"R0603";"301010293";"";
"R5";"1K 1/10W";"SMD-RES-1K-5%-1/10W(0603)";"R0603";"301010291";"";
"R6";"1K 1/10W";"SMD-RES-1K-5%-1/10W(0603)";"R0603";"301010291";"";
"R7";"1K 1/10W";"SMD-RES-1K-5%-1/10W(0603)";"R0603";"301010291";"";
"R8";"1K 1/10W";"SMD-RES-1K-5%-1/10W(0603)";"R0603";"301010291";"";
"R9";"1K 1/10W";"SMD-RES-1K-5%-1/10W(0603)";"R0603";"301010291";"";
"R10";"10K 1/10W";"SMD-RES-10K-5%-1/10W(0603)";"R0603";"301010293";"";
"R11";"10K 1/10W";"SMD-RES-10K-5%-1/10W(0603)";"R0603";"301010293";"";
"R12";"1K 1/10W";"SMD-RES-1K-5%-1/10W(0603)";"R0603";"301010291";"";
"R13";"10K 1/10W";"SMD-RES-10K-5%-1/10W(0603)";"R0603";"301010293";"";
"R14";"10K 1/10W";"SMD-RES-10K-5%-1/10W(0603)";"R0603";"301010293";"";
"R15";"10K 1/10W";"SMD-RES-10K-5%-1/10W(0603)";"R0603";"301010293";"";
"R16";"10K 1/10W";"SMD-RES-10K-5%-1/10W(0603)";"R0603";"301010293";"";
"R17";"10K 1/10W";"SMD-RES-10K-5%-1/10W(0603)";"R0603";"301010293";"";
"R18";"1K 1/10W";"SMD-RES-1K-5%-1/10W(0603)";"R0603";"301010291";"";
"R19";"1K 1/10W";"SMD-RES-1K-5%-1/10W(0603)";"R0603";"301010291";"";
"R20";"10K 1/10W";"SMD-RES-10K-5%-1/10W(0603)";"R0603";"301010293";"";
"R21";"1K 1/10W";"SMD-RES-1K-5%-1/10W(0603)";"R0603";"301010291";"";
"R22";"1K 1/10W";"SMD-RES-1K-5%-1/10W(0603)";"R0603";"301010291";"";
"RST";"B3U-1000P-2P-SMD";"SMD-BUTTON(2P-3.0X2.5X1.2+0.4MM)-B3U-1000P-2P-SMD";"SW2-2.6-3.0X2.5X1.2+0.4MM";"311020047";"";
"U1";"CJT1117-3.3-SOT223";"PMIC-CJT1117-3.3(SOT223)";"SOT-223";"310030097";"";
"U2";"ESP-32S";"ESP-32S";"ESP-32S";"";"";
"USER";"B3U-1000P-2P-SMD";"SMD-BUTTON(2P-3.0X2.5X1.2+0.4MM)-B3U-1000P-2P-SMD";"SW2-2.6-3.0X2.5X1.2+0.4MM";"311020047";"";
"Y100";"3.2768KHZ";"SMD-CRYSTAL-32.768KHZ-12.5PF-20PPM-90K(2P-L2.0X1.2MM)";"X2-SMD-L2.0X1.2X0.55MM";"306010020";"";
